1.173660341962787470e+02 2.923217631321347341e-12 2.307518511252979986e-13
1.616692002722744519e+02 4.226606356839724865e-12 1.042882195616386386e-12
2.226958633787211568e+02 5.592390076696756056e-12 5.517537734841160037e-13
3.067587857332841850e+02 9.680935301078310161e-12 2.058259422872150402e-12
4.225536621869300120e+02 1.076950056288065578e-11 1.902486320145507412e-12
5.820586262941814084e+02 1.142307622163852426e-11 2.906240911625770325e-12
8.017733006739232451e+02 1.078729543081054079e-11 2.281386665144918417e-12
1.104425562363638164e+03 1.431368255481187755e-11 1.315868253857985448e-12
1.521322575567163085e+03 8.450905078168105350e-12 1.381370218995604509e-12
2.095589288948629473e+03 5.789947351228098725e-12 1.115691598667396059e-12
2.886629396345500481e+03 5.779401838290369502e-12 9.359518014238618690e-13
