1.995262314968880730e+02 4.730314586232328433e-12 6.825568714632930476e-13
2.630267991895381670e+02 5.001140060335493579e-12 1.156240592928011146e-12
3.467368504525316553e+02 6.255609585469676708e-12 1.221481115762530590e-12
4.570881896148752048e+02 6.475235697579849792e-12 1.102911156604719173e-12
6.025595860743580943e+02 8.680969683532633914e-12 1.040359873672033572e-12
7.943282347242821970e+02 8.002143825397326853e-12 9.522158555637367404e-13
1.047128548050899553e+03 8.226088255741559929e-12 9.159929195913800949e-13
1.380384264602885196e+03 6.856045088281230532e-12 8.329952158849428702e-13
1.819700858609984380e+03 4.354912999237346528e-12 7.221701140209091899e-13
2.398832919019492238e+03 3.891082437184342354e-12 7.058149470475969365e-13
3.162277660168382681e+03 2.291086943817474732e-12 5.960293987034472930e-13
4.168693834703359244e+03 2.695178074501495173e-12 6.420911064587420122e-13
5.495408738576248652e+03 1.719282811064272677e-12 5.416774305160938986e-13
7.244359600749906349e+03 1.449738749459295425e-12 5.355841381219853868e-13
