1.173660341962787470e+02 6.504102739458916049e-11 2.350484877409248639e-12
1.616692002722744519e+02 7.747656369947780722e-11 1.759252919267275689e-11
2.226958633787211568e+02 9.624111717629231275e-11 3.970506023823579471e-12
3.067587857332841850e+02 1.139305800547244984e-10 6.322063770496165124e-12
4.225536621869300120e+02 1.418390982720737988e-10 6.728989820071681424e-13
5.820586262941814084e+02 1.556701794157191562e-10 6.712399194448513328e-13
8.017733006739232451e+02 1.601245439822473063e-10 7.338316334560202610e-13
1.104425562363638164e+03 1.685260530685591862e-10 2.529247554901549749e-12
1.521322575567163085e+03 1.849780836081630410e-10 2.857492146408886453e-12
2.095589288948629473e+03 1.413978706398562530e-10 2.052055118453377245e-12
2.886629396345500481e+03 1.139250997400528991e-10 2.659337897003832526e-12
3.976270214678618686e+03 9.020898627105598505e-11 2.668911767415158083e-12
5.477227121762456591e+03 6.183550565209883998e-11 2.593626932479267304e-12
7.544763138235311089e+03 3.968991257721858840e-11 2.413601904455580522e-12
1.039274975213326979e+04 2.430486999660541840e-11 1.773501481479165898e-12
1.431579036101173187e+04 1.084966160559408854e-11 1.172696395971919792e-12
1.971969483998879514e+04 4.457510088320879123e-12 1.309185787889293279e-12
